UPPER_BUS_PHASE_C,OUTGOING_PHASE_B,UPPER_BUS_PD,LOWER_BUS_PD,SPOUT_PD,OUTGOING_PD,Status
24.50749982,23.27894184,0,19.99511719,0,0,0
24.49333312,23.28669665,0,0.001982674,0,0,0
24.4950002,23.29080465,0,0.031722784,0,0,0
24.4916675,23.29836374,0,129.9365234,0,0,0
24.49247008,23.29916781,0,30,0,0,0
24.47858524,23.28416754,0,0.000152513,0,0,0
24.476414,23.26605806,0,0,0,0,0
24.48836314,23.26224711,0,0,0,0,0
27.66419587,26.57141107,0,0.003654957,0,0,0
27.68311126,26.56942304,0,0,0,0,0
27.66102932,26.55246936,0,1.249694824,0,0,0
27.66564181,26.5266653,0,0.000152513,0,0,0
27.66666798,26.50416668,0,7.492675781,0,0,0
27.65436206,26.5,0,8.124008179,0,0,0
27.63144432,26.47769398,0,19.9609375,0,0,0
27.6218902,26.41416699,0,0.063445568,0,0,0
27.61417123,26.39772338,0,45,0,0,0
27.59416466,26.3539146,0,58.125,0,0,0
27.59583435,26.30272548,0,129.7460938,0,0,0
27.55999927,26.27686208,0,0.003966317,0,0,0
27.5460285,26.21750064,0,0,0,0,0
27.50833335,26.20000076,0,0.234260559,0,0,0
27.4991673,26.19916743,0,65,0,0,0
27.48583261,26.20000076,0,113.75,0,0,0
27.46936144,26.20416789,0,0.004880428,0,0,0
27.42416574,26.22394218,0,0.000152551,0,0,0
27.43083503,26.27086356,0,0.007295609,0,0,0
27.4381384,26.30000114,0,59.53125,0,0,0
27.45083377,26.30000114,0,59.97070313,0,0,0
27.45602532,26.3123065,0,10,0,0,0
27.46333596,26.34830505,0,97.5,0,0,0
27.46499705,26.36525311,0,0,0,0,0
26.0375303,25.6358348,0,65,0,0,0
26.04080653,25.63250094,0,65,0,0,0
26.05083184,25.61503073,0,125.9375,0,0,0
26.06169597,25.6108035,0,189.6289063,0,0,0
26.06749908,25.60916547,0,59.94140625,0,0,0
26.06997022,25.60000038,0,184.0625,0,0,0
26.05480474,25.60000038,0,64.87304688,0,0,0
26.05166681,25.59750015,0,59.99816895,0,0,0
26.04497142,25.57519348,0,65,0,0,0
25.96775466,25.54560834,0,109.9731445,0,0,0
26.010804,25.51355887,0,145.3125,0,0,0
26.00999918,25.50499937,0,129.9365234,0,0,0
25.99916536,25.50416646,0,59.53208923,0,0,0
26.00336288,25.51730651,0,258.984375,0,0,0
26.00913696,25.5602227,0,184.0625,0,0,0
26.00916415,25.59560922,0,125.9375,0,0,0
26.03773442,25.60730278,0,129.9365234,0,0,0
26.08040415,25.67583489,0,39.9609375,0,0,0
26.0950009,25.70503079,0,129.4921875,0,0,0
26.1081394,25.7697475,0,59.94140625,0,0,0
26.1533302,25.7991974,0,59.53125,0,0,0
26.19333428,25.82894412,0,19.99023438,0,0,0
26.19750096,25.88919607,0,129.9365234,0,0,0
26.21166824,25.8983332,0,128.984375,0,0,0
26.61811062,25.7531404,0,129.7460938,0,0,0
